dim,30,sampling,80,concurrency,12
count,1,2,3,
time(ms),19695,20061,20152,
time1(ms),4997.46,4892.86,4999.98,
time2(ms),14636.6,15106.9,15090.9,
time3(ms),0.235,0.307,0.367,
num_sample,356,348,348,
loop,38047,38395,37432,
norm,2.29521e+06,2.29271e+06,2.29271e+06,
